Year,Month,Day,Nationality,Vessel Type,Name of Vessel,Where From,Where Bound,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Direction,LAC Image #
1854,April,17,American,Schooner,Convoy,Oswego,Detroit,Plaster,Iron,,,Upbound,IMG_4355.jpg
1854,April,17,American,Schooner,White Cloud,Oswego,Detroit,Plaster,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Schooner,D.W. Church,Oswego,Sandusky,Salt,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Schooner,Patrick Henry,Oswego,Sandusky,Salt,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Schooner,Liverpool,Oswego,Chicago,Water Lime,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Schooner,Robert Wood,Oswego,Erie,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Brigantine,Canton,Oswego,Toledo,Coal,,,,Upbound,IMG_4355.jpg
1854,April,17,British,Schooner,Almeda,Toronto,Chatham,Merchandise,,,,Upbound,IMG_4355.jpg
1854,April,18,American,Propeller,Young America,Detroit,Cape Vincent,Pork,Flour,Beef,,Downbound,IMG_4358.jpg
1854,April,18,American,Schooner,Syracuse,Detroit,Kingston,Corn,,,,Downbound,IMG_4358.jpg
1854,April,18,British,Schooner,Teresa Shickluna,Allanburg,Cape Vincent,Flour,,,,Downbound,IMG_4358.jpg
1854,April,18,American,Schooner,Pierrepont,Sackets Harbour,Toledo,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,19,American,Propeller,Boston,Cleveland,Ogdensburg,Pork,Flour,Corn,,Downbound,IMG_4358.jpg
1854,April,19,American,Propeller,Lawsville,Cleveland,Oswego,Pork,Flour,Corn,,Downbound,IMG_4358.jpg
1854,April,19,American,Schooner,Fairfield,Detroit,Cape Vincent,Corn,,,,Downbound,IMG_4358.jpg
1854,April,19,British,Schooner,Petrel,Port Dover,Oswego,Lumber,,,,Downbound,IMG_4358.jpg
1854,April,19,British,Schooner,Jane Ann Marsh,Port Dover,Oswego,Lumber,,,,Downbound,IMG_4358.jpg
1854,April,19,British,Brigantine,British Queen,Port Sarnia,Kingston,Lumber,,,,Downbound,IMG_4358.jpg
1854,April,19,American,Propeller,Ogdensburg,Ogdensburg,Chicago,Marble,Nail,Stone,,Upbound,IMG_4357.jpg
1854,April,19,American,Schooner,Ithaca,St. Catharines,Dunnville,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,19,British,Brigantine,Mohawk,Kingston,Bear Creek,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,19,British,Schooner,Arabian,Oakville,Port Stanley,Castings,,,,Upbound,IMG_4357.jpg
1854,April,19,American,Schooner,Aetna,Oswego,Port Davis,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,19,American,Barkentine,Waverly,Oswego,Chicago,Pig Iron,,,,Upbound,IMG_4357.jpg
1854,April,19,American,Schooner,Young Leopard,Port Burwell,Oswego,Lumber,,,,Downbound,IMG_4358.jpg
1854,April,20,British,Schooner,Princess Victoria,Dresden,Kingston,Staves,,,,Downbound,IMG_4358.jpg
1854,April,20,American,Barkentine,Northern Light,Detroit,Montreal,Corn,Flour,,,Downbound,IMG_4358.jpg
1854,April,20,American,Schooner,Jenny Lind,Cleveland,Montreal,Corn,Lard,,,Downbound,IMG_4358.jpg
1854,April,20,American,Schooner,C.T. Williams,Port Huron,Oswego,Lumber,,,,Downbound,IMG_4358.jpg
1854,April,20,American,Schooner,Monsoon,Cleveland,Oswego,Corn,,,,Downbound,IMG_4358.jpg
1854,April,20,American,Schooner,Kosciusko,Cleveland,Montreal,Corn,Lard,Ground stone,,Downbound,IMG_4358.jpg
1854,April,20,American,Barkentine,America,Detroit,Montreal,Corn,,,,Downbound,IMG_4358.jpg
1854,April,20,British,Barkentine,Pomona,Detroit,Kingston,Flour,,,,Downbound,IMG_4358.jpg
1854,April,20,British,Schooner,Mary Frances,Port Stanley,St. Catharines,Pork,Lard ,Wheat,,Downbound,IMG_4358.jpg
1854,April,20,American,Barkentine,Chieftan,Cape Vincent,Cleveland,Pig Iron,,,,Upbound,IMG_4357.jpg
1854,April,20,American,Schooner,John J. Morley,Pultneyville,Cleveland,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,20,American,Schooner,Challenge,Charlotte,Cleveland,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,20,American,Schooner,Excelsior,Charlotte,Chicago,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,20,American,Schooner,City,Charlotte,Toledo,R.R. Iron,,,,Upbound,IMG_4357.jpg
1854,April,20,British,Steamer,Reindeer,Kingston,Cleveland,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,20,British,Schooner,Prince of Wales,Toronto,Bear Creek,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,20,British,Barkentine,Superior,Port Dalhousie,Bear Creek,No Cargo,,,,Upbound,IMG_4357.jpg
